<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
RIU2 [SPBFUT],Daily,20210125,000000,137290.000000,137290.000000,135580.000000,135580.000000,3.000000
RIU2 [SPBFUT],Daily,20210127,000000,135580.000000,135580.000000,133610.000000,133610.000000,2.000000
RIU2 [SPBFUT],Daily,20210128,000000,132610.000000,132610.000000,132610.000000,132610.000000,1.000000
RIU2 [SPBFUT],Daily,20210202,000000,132610.000000,132610.000000,132610.000000,132610.000000,1.000000
RIU2 [SPBFUT],Daily,20210204,000000,134000.000000,134000.000000,134000.000000,134000.000000,1.000000
RIU2 [SPBFUT],Daily,20210205,000000,134930.000000,134930.000000,134930.000000,134930.000000,1.000000
RIU2 [SPBFUT],Daily,20210208,000000,138020.000000,138020.000000,138020.000000,138020.000000,1.000000
RIU2 [SPBFUT],Daily,20210209,000000,138240.000000,138240.000000,138240.000000,138240.000000,1.000000
RIU2 [SPBFUT],Daily,20210210,000000,138470.000000,138470.000000,138470.000000,138470.000000,1.000000
RIU2 [SPBFUT],Daily,20210215,000000,139990.000000,139990.000000,139990.000000,139990.000000,1.000000
RIU2 [SPBFUT],Daily,20210216,000000,140880.000000,140880.000000,140880.000000,140880.000000,1.000000
RIU2 [SPBFUT],Daily,20210226,000000,134920.000000,134920.000000,134920.000000,134920.000000,2.000000
RIU2 [SPBFUT],Daily,20210302,000000,137050.000000,137060.000000,137050.000000,137060.000000,2.000000
RIU2 [SPBFUT],Daily,20210304,000000,137060.000000,137060.000000,137060.000000,137060.000000,1.000000
RIU2 [SPBFUT],Daily,20210312,000000,141480.000000,143880.000000,141480.000000,143880.000000,2.000000
RIU2 [SPBFUT],Daily,20210315,000000,144250.000000,144250.000000,144250.000000,144250.000000,1.000000
RIU2 [SPBFUT],Daily,20210317,000000,140010.000000,140010.000000,140010.000000,140010.000000,1.000000
RIU2 [SPBFUT],Daily,20210325,000000,133240.000000,133240.000000,133240.000000,133240.000000,1.000000
RIU2 [SPBFUT],Daily,20210326,000000,135000.000000,135000.000000,135000.000000,135000.000000,1.000000
RIU2 [SPBFUT],Daily,20210406,000000,134600.000000,134600.000000,134600.000000,134600.000000,1.000000
RIU2 [SPBFUT],Daily,20210419,000000,138800.000000,138800.000000,138800.000000,138800.000000,1.000000
RIU2 [SPBFUT],Daily,20210420,000000,138030.000000,138030.000000,138030.000000,138030.000000,1.000000
RIU2 [SPBFUT],Daily,20210422,000000,141000.000000,141000.000000,139800.000000,141000.000000,5.000000
RIU2 [SPBFUT],Daily,20210426,000000,141000.000000,141000.000000,141000.000000,141000.000000,1.000000
RIU2 [SPBFUT],Daily,20210427,000000,142820.000000,142820.000000,142820.000000,142820.000000,1.000000
RIU2 [SPBFUT],Daily,20210429,000000,143000.000000,143000.000000,143000.000000,143000.000000,1.000000
RIU2 [SPBFUT],Daily,20210430,000000,139200.000000,139200.000000,139200.000000,139200.000000,1.000000
RIU2 [SPBFUT],Daily,20210504,000000,140100.000000,140100.000000,139160.000000,139160.000000,2.000000
RIU2 [SPBFUT],Daily,20210507,000000,144530.000000,144530.000000,144530.000000,144530.000000,1.000000
RIU2 [SPBFUT],Daily,20210518,000000,145670.000000,147420.000000,145670.000000,147420.000000,2.000000
RIU2 [SPBFUT],Daily,20210527,000000,147420.000000,147420.000000,147420.000000,147420.000000,1.000000
RIU2 [SPBFUT],Daily,20210615,000000,156210.000000,156210.000000,156210.000000,156210.000000,1.000000
RIU2 [SPBFUT],Daily,20210616,000000,156240.000000,156240.000000,156240.000000,156240.000000,1.000000
RIU2 [SPBFUT],Daily,20210702,000000,155580.000000,156640.000000,155580.000000,156640.000000,3.000000
RIU2 [SPBFUT],Daily,20210709,000000,154140.000000,155130.000000,154140.000000,155130.000000,2.000000
RIU2 [SPBFUT],Daily,20210726,000000,150880.000000,151060.000000,149760.000000,149760.000000,3.000000
RIU2 [SPBFUT],Daily,20210727,000000,151270.000000,151270.000000,151270.000000,151270.000000,1.000000
RIU2 [SPBFUT],Daily,20210802,000000,156190.000000,156850.000000,155510.000000,156850.000000,4.000000
RIU2 [SPBFUT],Daily,20210812,000000,156780.000000,156780.000000,156780.000000,156780.000000,1.000000
RIU2 [SPBFUT],Daily,20210817,000000,160530.000000,160530.000000,160530.000000,160530.000000,1.000000
RIU2 [SPBFUT],Daily,20210826,000000,155860.000000,155860.000000,155860.000000,155860.000000,1.000000
RIU2 [SPBFUT],Daily,20210827,000000,155490.000000,156000.000000,155490.000000,156000.000000,3.000000
RIU2 [SPBFUT],Daily,20210901,000000,161070.000000,161980.000000,161070.000000,161980.000000,2.000000
RIU2 [SPBFUT],Daily,20210903,000000,163550.000000,163550.000000,163550.000000,163550.000000,1.000000
RIU2 [SPBFUT],Daily,20210906,000000,165340.000000,165340.000000,165340.000000,165340.000000,1.000000
RIU2 [SPBFUT],Daily,20210908,000000,163800.000000,164330.000000,163800.000000,164330.000000,3.000000
RIU2 [SPBFUT],Daily,20210909,000000,163280.000000,163280.000000,163280.000000,163280.000000,1.000000
RIU2 [SPBFUT],Daily,20210910,000000,163380.000000,163620.000000,163380.000000,163620.000000,2.000000
RIU2 [SPBFUT],Daily,20210914,000000,167060.000000,167060.000000,167060.000000,167060.000000,1.000000
RIU2 [SPBFUT],Daily,20210916,000000,168480.000000,168480.000000,168480.000000,168480.000000,1.000000
