<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
RIH3 [SPBFUT],Daily,20210427,000000,141150.000000,141150.000000,141150.000000,141150.000000,1.000000
RIH3 [SPBFUT],Daily,20210429,000000,142170.000000,142170.000000,142170.000000,142170.000000,1.000000
RIH3 [SPBFUT],Daily,20210518,000000,146330.000000,146330.000000,146330.000000,146330.000000,1.000000
RIH3 [SPBFUT],Daily,20210609,000000,159000.000000,159000.000000,159000.000000,159000.000000,1.000000
RIH3 [SPBFUT],Daily,20210615,000000,158950.000000,158950.000000,158360.000000,158370.000000,3.000000
RIH3 [SPBFUT],Daily,20210622,000000,151690.000000,151690.000000,151180.000000,151180.000000,2.000000
RIH3 [SPBFUT],Daily,20210624,000000,156490.000000,156490.000000,156490.000000,156490.000000,1.000000
RIH3 [SPBFUT],Daily,20210625,000000,153630.000000,153630.000000,153630.000000,153630.000000,1.000000
RIH3 [SPBFUT],Daily,20210630,000000,154370.000000,154370.000000,154370.000000,154370.000000,1.000000
RIH3 [SPBFUT],Daily,20210702,000000,154540.000000,154540.000000,154540.000000,154540.000000,1.000000
RIH3 [SPBFUT],Daily,20210708,000000,149540.000000,149540.000000,149540.000000,149540.000000,1.000000
RIH3 [SPBFUT],Daily,20210719,000000,147730.000000,147730.000000,147730.000000,147730.000000,1.000000
RIH3 [SPBFUT],Daily,20210727,000000,151460.000000,151940.000000,151460.000000,151940.000000,2.000000
RIH3 [SPBFUT],Daily,20210728,000000,154710.000000,154710.000000,154710.000000,154710.000000,1.000000
RIH3 [SPBFUT],Daily,20210816,000000,156330.000000,156330.000000,156330.000000,156330.000000,1.000000
RIH3 [SPBFUT],Daily,20210817,000000,157150.000000,157150.000000,157150.000000,157150.000000,1.000000
RIH3 [SPBFUT],Daily,20210818,000000,157330.000000,157330.000000,157330.000000,157330.000000,1.000000
RIH3 [SPBFUT],Daily,20210819,000000,154730.000000,154990.000000,154730.000000,154990.000000,2.000000
RIH3 [SPBFUT],Daily,20210820,000000,154720.000000,154720.000000,154720.000000,154720.000000,1.000000
RIH3 [SPBFUT],Daily,20210827,000000,156000.000000,156000.000000,156000.000000,156000.000000,1.000000
RIH3 [SPBFUT],Daily,20210830,000000,158000.000000,158000.000000,158000.000000,158000.000000,1.000000
RIH3 [SPBFUT],Daily,20210907,000000,162180.000000,162180.000000,162180.000000,162180.000000,1.000000
RIH3 [SPBFUT],Daily,20210908,000000,162270.000000,162270.000000,162270.000000,162270.000000,1.000000
RIH3 [SPBFUT],Daily,20210910,000000,160200.000000,160200.000000,160200.000000,160200.000000,1.000000
RIH3 [SPBFUT],Daily,20210913,000000,162000.000000,162000.000000,162000.000000,162000.000000,1.000000
RIH3 [SPBFUT],Daily,20210915,000000,164000.000000,164000.000000,164000.000000,164000.000000,1.000000
RIH3 [SPBFUT],Daily,20210930,000000,164030.000000,164030.000000,164030.000000,164030.000000,1.000000
RIH3 [SPBFUT],Daily,20211005,000000,166690.000000,170480.000000,166690.000000,170270.000000,3.000000
RIH3 [SPBFUT],Daily,20211011,000000,176360.000000,176890.000000,176360.000000,176890.000000,3.000000
RIH3 [SPBFUT],Daily,20211012,000000,173820.000000,175000.000000,173820.000000,175000.000000,2.000000
RIH3 [SPBFUT],Daily,20211013,000000,173400.000000,173400.000000,173400.000000,173400.000000,1.000000
RIH3 [SPBFUT],Daily,20211014,000000,175550.000000,175550.000000,175550.000000,175550.000000,1.000000
RIH3 [SPBFUT],Daily,20211015,000000,176190.000000,176190.000000,176000.000000,176000.000000,2.000000
RIH3 [SPBFUT],Daily,20211027,000000,176110.000000,176110.000000,176110.000000,176110.000000,1.000000
RIH3 [SPBFUT],Daily,20211108,000000,174710.000000,174710.000000,174610.000000,174610.000000,2.000000
RIH3 [SPBFUT],Daily,20211111,000000,171120.000000,171120.000000,170650.000000,170650.000000,2.000000
RIH3 [SPBFUT],Daily,20211112,000000,167800.000000,169070.000000,167800.000000,169070.000000,4.000000
RIH3 [SPBFUT],Daily,20211115,000000,170920.000000,174300.000000,170920.000000,174300.000000,5.000000
RIH3 [SPBFUT],Daily,20211116,000000,172400.000000,172400.000000,168600.000000,168600.000000,2.000000
RIH3 [SPBFUT],Daily,20211119,000000,164000.000000,164000.000000,164000.000000,164000.000000,1.000000
RIH3 [SPBFUT],Daily,20211122,000000,156500.000000,156500.000000,156500.000000,156500.000000,1.000000
