<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
RIH2 [SPBFUT],Daily,20210607,000000,157100.000000,158250.000000,157100.000000,158250.000000,7.000000
RIH2 [SPBFUT],Daily,20210608,000000,158610.000000,159050.000000,158060.000000,159050.000000,7.000000
RIH2 [SPBFUT],Daily,20210609,000000,159200.000000,160140.000000,159200.000000,160090.000000,7.000000
RIH2 [SPBFUT],Daily,20210610,000000,160580.000000,161790.000000,160580.000000,161790.000000,4.000000
RIH2 [SPBFUT],Daily,20210611,000000,161710.000000,162440.000000,160990.000000,160990.000000,4.000000
RIH2 [SPBFUT],Daily,20210614,000000,161620.000000,162290.000000,161620.000000,162200.000000,5.000000
RIH2 [SPBFUT],Daily,20210615,000000,162550.000000,162910.000000,160400.000000,160440.000000,9.000000
RIH2 [SPBFUT],Daily,20210617,000000,160750.000000,160750.000000,160540.000000,160540.000000,2.000000
RIH2 [SPBFUT],Daily,20210618,000000,159700.000000,160000.000000,158650.000000,158650.000000,4.000000
RIH2 [SPBFUT],Daily,20210621,000000,157470.000000,158070.000000,157450.000000,157870.000000,9.000000
RIH2 [SPBFUT],Daily,20210622,000000,158740.000000,158740.000000,157860.000000,157860.000000,5.000000
RIH2 [SPBFUT],Daily,20210623,000000,159870.000000,159870.000000,159850.000000,159850.000000,2.000000
RIH2 [SPBFUT],Daily,20210628,000000,160870.000000,160870.000000,160870.000000,160870.000000,1.000000
RIH2 [SPBFUT],Daily,20210629,000000,159390.000000,159820.000000,157570.000000,158690.000000,13.000000
RIH2 [SPBFUT],Daily,20210630,000000,158800.000000,160000.000000,157840.000000,159800.000000,17.000000
RIH2 [SPBFUT],Daily,20210701,000000,159750.000000,161850.000000,159750.000000,161850.000000,7.000000
RIH2 [SPBFUT],Daily,20210702,000000,160570.000000,161150.000000,159900.000000,161150.000000,7.000000
RIH2 [SPBFUT],Daily,20210705,000000,161030.000000,161440.000000,160860.000000,161440.000000,6.000000
RIH2 [SPBFUT],Daily,20210706,000000,161950.000000,162800.000000,158890.000000,159520.000000,25.000000
RIH2 [SPBFUT],Daily,20210707,000000,159520.000000,160850.000000,159000.000000,159590.000000,14.000000
RIH2 [SPBFUT],Daily,20210708,000000,159110.000000,159110.000000,156590.000000,158100.000000,10.000000
RIH2 [SPBFUT],Daily,20210709,000000,158100.000000,159200.000000,158100.000000,159060.000000,19.000000
RIH2 [SPBFUT],Daily,20210712,000000,158890.000000,159550.000000,158000.000000,159550.000000,11.000000
RIH2 [SPBFUT],Daily,20210713,000000,160000.000000,160260.000000,159170.000000,159460.000000,17.000000
RIH2 [SPBFUT],Daily,20210714,000000,159960.000000,160250.000000,159010.000000,159010.000000,14.000000
RIH2 [SPBFUT],Daily,20210715,000000,158330.000000,159000.000000,158000.000000,158030.000000,8.000000
RIH2 [SPBFUT],Daily,20210716,000000,158200.000000,158200.000000,156120.000000,156500.000000,10.000000
RIH2 [SPBFUT],Daily,20210719,000000,155700.000000,155700.000000,152370.000000,152370.000000,20.000000
RIH2 [SPBFUT],Daily,20210720,000000,153500.000000,154500.000000,152330.000000,154500.000000,11.000000
RIH2 [SPBFUT],Daily,20210721,000000,155000.000000,155500.000000,155000.000000,155500.000000,4.000000
RIH2 [SPBFUT],Daily,20210722,000000,156000.000000,157000.000000,156000.000000,157000.000000,7.000000
RIH2 [SPBFUT],Daily,20210723,000000,156680.000000,156680.000000,155500.000000,155710.000000,18.000000
RIH2 [SPBFUT],Daily,20210726,000000,155200.000000,157150.000000,153840.000000,157150.000000,16.000000
RIH2 [SPBFUT],Daily,20210727,000000,157150.000000,157150.000000,155500.000000,155600.000000,9.000000
RIH2 [SPBFUT],Daily,20210728,000000,156000.000000,157840.000000,156000.000000,157840.000000,15.000000
RIH2 [SPBFUT],Daily,20210729,000000,158000.000000,159500.000000,158000.000000,159480.000000,33.000000
RIH2 [SPBFUT],Daily,20210730,000000,158300.000000,158930.000000,158000.000000,158300.000000,23.000000
RIH2 [SPBFUT],Daily,20210802,000000,158300.000000,159720.000000,158300.000000,158580.000000,19.000000
RIH2 [SPBFUT],Daily,20210803,000000,158200.000000,159500.000000,157950.000000,159500.000000,16.000000
RIH2 [SPBFUT],Daily,20210804,000000,160000.000000,160310.000000,159000.000000,159200.000000,24.000000
RIH2 [SPBFUT],Daily,20210805,000000,159200.000000,160700.000000,159200.000000,160700.000000,21.000000
RIH2 [SPBFUT],Daily,20210806,000000,160700.000000,160700.000000,158550.000000,158550.000000,18.000000
RIH2 [SPBFUT],Daily,20210809,000000,158500.000000,160270.000000,158170.000000,159950.000000,17.000000
RIH2 [SPBFUT],Daily,20210810,000000,160500.000000,160630.000000,159800.000000,160490.000000,23.000000
RIH2 [SPBFUT],Daily,20210811,000000,160460.000000,161730.000000,159670.000000,161730.000000,47.000000
RIH2 [SPBFUT],Daily,20210812,000000,161630.000000,162260.000000,161270.000000,161560.000000,23.000000
RIH2 [SPBFUT],Daily,20210813,000000,161560.000000,162260.000000,161470.000000,161810.000000,29.000000
RIH2 [SPBFUT],Daily,20210816,000000,161370.000000,162790.000000,160940.000000,162750.000000,54.000000
RIH2 [SPBFUT],Daily,20210817,000000,162300.000000,164000.000000,162170.000000,163490.000000,52.000000
RIH2 [SPBFUT],Daily,20210818,000000,163950.000000,164730.000000,162060.000000,162060.000000,50.000000
